y_lo,y_hi,y_center,KmeanCharged_value,KmeanCharged_err,TwoK0S_value,TwoK0S_err
0.3429,0.4286,0.3857,2.365296e+00,6.089454e-03,2.356266e+00,6.077819e-03
0.4286,0.5143,0.4714,2.301239e+00,6.006430e-03,2.289873e+00,5.991578e-03
0.5143,0.6000,0.5571,2.248140e+00,5.936729e-03,2.240850e+00,5.927096e-03
0.6000,0.6857,0.6429,2.151709e+00,5.808009e-03,2.156710e+00,5.814755e-03
0.6857,0.7714,0.7286,2.078057e+00,5.707741e-03,2.074122e+00,5.702335e-03
0.7714,0.8571,0.8143,1.986454e+00,5.580522e-03,1.983005e+00,5.575676e-03
0.8571,0.9429,0.9000,1.884756e+00,5.435795e-03,1.879661e+00,5.428443e-03
0.9429,1.0286,0.9857,1.785048e+00,5.290059e-03,1.777445e+00,5.278781e-03
1.0286,1.1143,1.0714,1.671592e+00,5.119183e-03,1.675307e+00,5.124869e-03
1.1143,1.2000,1.1571,1.570504e+00,4.961982e-03,1.559954e+00,4.945286e-03
1.2000,1.2857,1.2429,1.449491e+00,4.766981e-03,1.447171e+00,4.763164e-03
1.2857,1.3714,1.3286,1.339641e+00,4.582787e-03,1.334091e+00,4.573285e-03
1.3714,1.4571,1.4143,1.219396e+00,4.372279e-03,1.217389e+00,4.368680e-03
1.4571,1.5429,1.5000,1.101738e+00,4.155991e-03,1.100483e+00,4.153625e-03
1.5429,1.6286,1.5857,9.855688e-01,3.930783e-03,9.781535e-01,3.915967e-03
1.6286,1.7143,1.6714,8.609970e-01,3.673977e-03,8.574696e-01,3.666443e-03
1.7143,1.8000,1.7571,7.603802e-01,3.452637e-03,7.572604e-01,3.445547e-03
1.8000,1.8857,1.8429,6.453558e-01,3.180791e-03,6.430826e-01,3.175184e-03
1.8857,1.9714,1.9286,5.419798e-01,2.914923e-03,5.497557e-01,2.935759e-03
1.9714,2.0571,2.0143,4.459250e-01,2.644031e-03,4.445140e-01,2.639844e-03
2.0571,2.1429,2.1000,3.631959e-01,2.386196e-03,3.604680e-01,2.377218e-03
2.1429,2.2286,2.1857,2.878978e-01,2.124490e-03,2.850759e-01,2.114053e-03
2.2286,2.3143,2.2714,2.219748e-01,1.865466e-03,2.239972e-01,1.873945e-03
2.3143,2.4000,2.3571,1.661323e-01,1.613848e-03,1.683428e-01,1.624549e-03
2.4000,2.4857,2.4429,1.234587e-01,1.391222e-03,1.241171e-01,1.394927e-03
2.4857,2.5714,2.5286,8.719711e-02,1.169194e-03,8.628783e-02,1.163082e-03
2.5714,2.6571,2.6143,5.993430e-02,9.693336e-04,5.752000e-02,9.496094e-04
2.6571,2.7429,2.7000,3.801744e-02,7.720172e-04,3.875427e-02,7.794627e-04
2.7429,2.8286,2.7857,2.263801e-02,5.957372e-04,2.517774e-02,6.282665e-04
2.8286,2.9143,2.8714,1.356086e-02,4.610831e-04,1.288674e-02,4.494765e-04
2.9143,3.0000,2.9571,7.368329e-03,3.398757e-04,7.822970e-03,3.502042e-04
