species,y_lo,y_hi,y_center,counts,value,error
Kplus,1.5429,1.6286,1.5857,4.448000e+04,1.394652e+00,6.612771e-03
Kplus,1.6286,1.7143,1.6714,3.979200e+04,1.247662e+00,6.254592e-03
Kplus,1.7143,1.8000,1.7571,3.580700e+04,1.122714e+00,5.933147e-03
Kplus,1.8000,1.8857,1.8429,3.080700e+04,9.659409e-01,5.503333e-03
Kplus,1.8857,1.9714,1.9286,2.648000e+04,8.302695e-01,5.102231e-03
Kplus,1.9714,2.0571,2.0143,2.224600e+04,6.975142e-01,4.676566e-03
Kplus,2.0571,2.1429,2.1000,1.835000e+04,5.753567e-01,4.247361e-03
Kplus,2.1429,2.2286,2.1857,1.471900e+04,4.615082e-01,3.803998e-03
Kplus,2.2286,2.3143,2.2714,1.156500e+04,3.626158e-01,3.371894e-03
Kplus,2.3143,2.4000,2.3571,8.686000e+03,2.723460e-01,2.922207e-03
Kplus,2.4000,2.4857,2.4429,6.538000e+03,2.049963e-01,2.535266e-03
Kplus,2.4857,2.5714,2.5286,4.641000e+03,1.455167e-01,2.136028e-03
Kplus,2.5714,2.6571,2.6143,3.208000e+03,1.005855e-01,1.775899e-03
Kplus,2.6571,2.7429,2.7000,2.019000e+03,6.330492e-02,1.408865e-03
Kplus,2.7429,2.8286,2.7857,1.245000e+03,3.903646e-02,1.106333e-03
Kplus,2.8286,2.9143,2.8714,7.230000e+02,2.266937e-02,8.430829e-04
Kplus,2.9143,3.0000,2.9571,3.860000e+02,1.210287e-02,6.160200e-04
Kminus,-3.0000,-2.9143,-2.9571,8.100000e+01,2.539722e-03,2.821913e-04
Kminus,-2.9143,-2.8286,-2.8714,1.790000e+02,5.612472e-03,4.194958e-04
Kminus,-2.8286,-2.7429,-2.7857,2.750000e+02,8.622512e-03,5.199571e-04
Kminus,-2.7429,-2.6571,-2.7000,4.180000e+02,1.310622e-02,6.410461e-04
Kminus,-2.6571,-2.5714,-2.6143,6.850000e+02,2.147789e-02,8.206282e-04
Kminus,-2.5714,-2.4857,-2.5286,9.520000e+02,2.984957e-02,9.674301e-04
Kminus,-2.4857,-2.4000,-2.4429,1.492000e+03,4.678105e-02,1.211115e-03
Kminus,-2.4000,-2.3143,-2.3571,2.223000e+03,6.970125e-02,1.478328e-03
Kminus,-2.3143,-2.2286,-2.2714,2.957000e+03,9.271552e-02,1.705009e-03
Kminus,-2.2286,-2.1429,-2.1857,3.977000e+03,1.246972e-01,1.977329e-03
Kminus,-2.1429,-2.0571,-2.1000,5.440000e+03,1.705690e-01,2.312600e-03
Kminus,-2.0571,-1.9714,-2.0143,7.060000e+03,2.213634e-01,2.634532e-03
Kminus,-1.9714,-1.8857,-1.9286,8.770000e+03,2.749798e-01,2.936303e-03
Kminus,-1.8857,-1.8000,-1.8429,1.095300e+04,3.434268e-01,3.281464e-03
Kminus,-1.8000,-1.7143,-1.7571,1.354400e+04,4.246666e-01,3.649006e-03
Kminus,-1.7143,-1.6286,-1.6714,1.610000e+04,5.048089e-01,3.978451e-03
Kminus,-1.6286,-1.5429,-1.5857,1.940200e+04,6.083418e-01,4.367414e-03
Kminus,-1.5429,-1.4571,-1.5000,2.243700e+04,7.035029e-01,4.696599e-03
Kminus,-1.4571,-1.3714,-1.4143,2.614700e+04,8.198285e-01,5.070048e-03
Kminus,-1.3714,-1.2857,-1.3286,2.956400e+04,9.269671e-01,5.391166e-03
Kminus,-1.2857,-1.2000,-1.2429,3.293700e+04,1.032726e+00,5.690405e-03
Kminus,-1.2000,-1.1143,-1.1571,3.663000e+04,1.148519e+00,6.000944e-03
Kminus,-1.1143,-1.0286,-1.0714,4.042800e+04,1.267603e+00,6.304378e-03
Kminus,-1.0286,-0.9429,-0.9857,4.368900e+04,1.369851e+00,6.553709e-03
Kminus,-0.9429,-0.8571,-0.9000,4.725200e+04,1.481567e+00,6.815712e-03
Kminus,-0.8571,-0.7714,-0.8143,5.068400e+04,1.589176e+00,7.058892e-03
Kminus,-0.7714,-0.6857,-0.7286,5.315200e+04,1.666559e+00,7.228712e-03
Kminus,-0.6857,-0.6000,-0.6429,5.624500e+04,1.763539e+00,7.436063e-03
Kminus,-0.6000,-0.5143,-0.5571,5.839000e+04,1.830795e+00,7.576530e-03
Kminus,-0.5143,-0.4286,-0.4714,6.100400e+04,1.912755e+00,7.744266e-03
Kminus,-0.4286,-0.3429,-0.3857,6.234800e+04,1.954896e+00,7.829110e-03
Kminus,-0.3429,-0.2571,-0.3000,6.419300e+04,2.012745e+00,7.944105e-03
Kminus,-0.2571,-0.1714,-0.2143,6.507700e+04,2.040463e+00,7.998617e-03
Kminus,-0.1714,-0.0857,-0.1286,6.513000e+04,2.042124e+00,8.001873e-03
Kminus,-0.0857,0.0000,-0.0429,6.538000e+04,2.049963e+00,8.017216e-03
Kminus,0.0000,0.0857,0.0429,6.486400e+04,2.033784e+00,7.985516e-03
Kminus,0.0857,0.1714,0.1286,6.486600e+04,2.033847e+00,7.985639e-03
Kminus,0.1714,0.2571,0.2143,6.427100e+04,2.015191e+00,7.948930e-03
Kminus,0.2571,0.3429,0.3000,6.311800e+04,1.979039e+00,7.877306e-03
