y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
-0.5143,-0.4286,-0.4714,88915,61004,7.434850e+04,1.008218e+00,3.690044e-03
-0.4286,-0.3429,-0.3857,90717,62348,7.631350e+04,1.002870e+00,3.627713e-03
-0.3429,-0.2571,-0.3000,91628,64193,7.753800e+04,1.004804e+00,3.604163e-03
-0.2571,-0.1714,-0.2143,92585,65077,7.864500e+04,1.002365e+00,3.572186e-03
-0.1714,-0.0857,-0.1286,92723,65130,7.909850e+04,9.978255e-01,3.549825e-03
-0.0857,0.0000,-0.0429,93592,65380,7.926900e+04,1.002738e+00,3.559090e-03
0.0000,0.0857,0.0429,92754,64864,7.921250e+04,9.949061e-01,3.539488e-03
0.0857,0.1714,0.1286,92655,64866,7.867000e+04,1.001150e+00,3.568371e-03
0.1714,0.2571,0.2143,91717,64271,7.768000e+04,1.004042e+00,3.598817e-03
0.2571,0.3429,0.3000,90315,63118,7.655550e+04,1.002103e+00,3.619897e-03
0.3429,0.4286,0.3857,88976,61898,7.514900e+04,1.003832e+00,3.658345e-03
0.4286,0.5143,0.4714,87268,59520,7.303150e+04,1.004964e+00,3.714140e-03
0.5143,0.6000,0.5571,85149,58252,7.146800e+04,1.003253e+00,3.749751e-03
0.6000,0.6857,0.6429,82207,55043,6.878450e+04,9.976812e-01,3.806262e-03
0.6857,0.7714,0.7286,80095,52457,6.615050e+04,1.001897e+00,3.893596e-03
0.7714,0.8571,0.8143,77689,49020,6.324450e+04,1.001739e+00,3.981573e-03
0.8571,0.9429,0.9000,74245,45977,5.994850e+04,1.002711e+00,4.092538e-03
0.9429,1.0286,0.9857,71165,42697,5.668850e+04,1.004278e+00,4.213504e-03
1.0286,1.1143,1.0714,67667,38958,5.343100e+04,9.977822e-01,4.318971e-03
1.1143,1.2000,1.1571,64608,35569,4.975200e+04,1.006764e+00,4.506004e-03
1.2000,1.2857,1.2429,60693,31765,4.615500e+04,1.001603e+00,4.660285e-03
1.2857,1.3714,1.3286,57054,28397,4.254850e+04,1.004160e+00,4.863070e-03
1.3714,1.4571,1.4143,52965,24816,3.882650e+04,1.001648e+00,5.081272e-03
1.4571,1.5429,1.5000,48841,21435,3.509800e+04,1.001140e+00,5.342319e-03
1.5429,1.6286,1.5857,44480,18386,3.119650e+04,1.007581e+00,5.693884e-03
1.6286,1.7143,1.6714,39792,15128,2.734750e+04,1.004114e+00,6.065671e-03
1.7143,1.8000,1.7571,35807,12695,2.415150e+04,1.004120e+00,6.454574e-03
1.8000,1.8857,1.8429,30807,10358,2.051000e+04,1.003535e+00,7.001109e-03
1.8857,1.9714,1.9286,26480,8091,1.753350e+04,9.858556e-01,7.471902e-03
1.9714,2.0571,2.0143,22246,6198,1.417700e+04,1.003174e+00,8.418609e-03
2.0571,2.1429,2.1000,18350,4817,1.149650e+04,1.007568e+00,9.379385e-03
2.1429,2.2286,2.1857,14719,3645,9.092000e+03,1.009899e+00,1.056529e-02
2.2286,2.3143,2.2714,11565,2594,7.144000e+03,9.909714e-01,1.175107e-02
2.3143,2.4000,2.3571,8686,1911,5.369000e+03,9.868691e-01,1.351303e-02
2.4000,2.4857,2.4429,6538,1337,3.958500e+03,9.946950e-01,1.583080e-02
2.4857,2.5714,2.5286,4641,921,2.752000e+03,1.010538e+00,1.921291e-02
2.5714,2.6571,2.6143,3208,615,1.834500e+03,1.041973e+00,2.408127e-02
2.6571,2.7429,2.7000,2019,406,1.236000e+03,9.809871e-01,2.803808e-02
2.7429,2.8286,2.7857,1245,199,8.030000e+02,8.991283e-01,3.260733e-02
