y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
1.0286,1.1143,1.0714,294917,136435,1.890865e+05,1.140621e+00,2.540945e-03
1.1143,1.2000,1.1571,276128,121429,1.739910e+05,1.142464e+00,2.652160e-03
1.2000,1.2857,1.2429,256711,108112,1.580930e+05,1.153824e+00,2.803519e-03
1.2857,1.3714,1.3286,233998,94579,1.420145e+05,1.156843e+00,2.963911e-03
1.3714,1.4571,1.4143,212205,81576,1.256860e+05,1.168710e+00,3.175380e-03
1.4571,1.5429,1.5000,190047,68759,1.100310e+05,1.176059e+00,3.410182e-03
1.5429,1.6286,1.5857,167458,56998,9.443150e+04,1.188459e+00,3.710974e-03
1.6286,1.7143,1.6714,145191,46535,8.011500e+04,1.196567e+00,4.050130e-03
1.7143,1.8000,1.7571,122994,37469,6.638050e+04,1.208661e+00,4.484163e-03
1.8000,1.8857,1.8429,102541,29200,5.403750e+04,1.218978e+00,5.002783e-03
1.8857,1.9714,1.9286,83188,22152,4.283800e+04,1.229516e+00,5.656434e-03
1.9714,2.0571,2.0143,66006,16521,3.330750e+04,1.238865e+00,6.452678e-03
2.0571,2.1429,2.1000,50401,12134,2.522800e+04,1.239397e+00,7.416761e-03
2.1429,2.2286,2.1857,37314,8525,1.831600e+04,1.251338e+00,8.769549e-03
2.2286,2.3143,2.2714,27048,5781,1.292300e+04,1.270177e+00,1.056247e-02
2.3143,2.4000,2.3571,18783,4047,8.831000e+03,1.292606e+00,1.295322e-02
2.4000,2.4857,2.4429,12408,2547,5.768500e+03,1.296264e+00,1.606243e-02
2.4857,2.5714,2.5286,7686,1496,3.631500e+03,1.264216e+00,1.985233e-02
2.5714,2.6571,2.6143,4541,958,2.162500e+03,1.271445e+00,2.584085e-02
2.6571,2.7429,2.7000,2534,540,1.272000e+03,1.208333e+00,3.238673e-02
2.7429,2.8286,2.7857,1315,281,6.660000e+02,1.198198e+00,4.446780e-02
2.8286,2.9143,2.8714,623,149,3.510000e+02,1.099715e+00,5.735242e-02
2.9143,3.0000,2.9571,288,78,1.655000e+02,1.105740e+00,8.387160e-02
