y_lo,y_hi,y_center,Kplus_value,Kplus_err,Kminus_value,Kminus_err,K0S_value,K0S_err,KmeanCharged_value,KmeanCharged_err
-0.1000,0.0000,-0.0500,1.384444e-02,5.546660e-04,6.666667e-04,1.217161e-04,8.100000e-03,3.000000e-04,7.255556e-03,2.839318e-04
0.0000,0.1000,0.0500,6.466667e-03,3.790827e-04,4.000000e-04,9.428090e-05,3.977778e-03,2.102321e-04,3.433333e-03,1.953155e-04
0.1000,0.2000,0.1500,3.222222e-03,2.675910e-04,1.111111e-04,4.969040e-05,1.588889e-03,1.328696e-04,1.666667e-03,1.360828e-04
0.2000,0.3000,0.2500,1.177778e-03,1.617802e-04,1.111111e-04,4.969040e-05,8.555556e-04,9.749960e-05,6.444444e-04,8.461970e-05
0.3000,0.4000,0.3500,3.333333e-04,8.606630e-05,2.222222e-05,2.222222e-05,1.888889e-04,4.581228e-05,1.777778e-04,4.444444e-05
0.4000,0.5000,0.4500,2.222222e-04,7.027284e-05,0.000000e+00,0.000000e+00,6.666667e-05,2.721655e-05,1.111111e-04,3.513642e-05
0.5000,0.6000,0.5500,4.444444e-05,3.142697e-05,0.000000e+00,0.000000e+00,5.555556e-05,2.484520e-05,2.222222e-05,1.571348e-05
0.6000,0.7000,0.6500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.7000,0.8000,0.7500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.8000,0.9000,0.8500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.9000,1.0000,0.9500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.0000,1.1000,1.0500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.1000,1.2000,1.1500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.2000,1.3000,1.2500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.3000,1.4000,1.3500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.4000,1.5000,1.4500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.5000,1.6000,1.5500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.6000,1.7000,1.6500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.7000,1.8000,1.7500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.8000,1.9000,1.8500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.9000,2.0000,1.9500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
