y_lo,y_hi,y_center,K+,K-,K0S,R_K,R_K_err
1.7857,1.8571,1.8214,36225,11905,1.927900e+04,1.248249e+00,8.531309e-03
1.8571,1.9286,1.8929,32115,9850,1.688700e+04,1.242524e+00,9.083007e-03
1.9286,2.0000,1.9643,28125,8178,1.440200e+04,1.260346e+00,9.945025e-03
2.0000,2.0714,2.0357,24280,6441,1.208900e+04,1.270618e+00,1.092369e-02
2.0714,2.1429,2.1071,20834,5115,1.007200e+04,1.288175e+00,1.209649e-02
2.1429,2.2143,2.1786,17275,4010,8.247000e+03,1.290469e+00,1.338669e-02
2.2143,2.2857,2.2500,14318,3096,6.577500e+03,1.323755e+00,1.529162e-02
2.2857,2.3571,2.3214,11256,2426,5.204000e+03,1.314566e+00,1.709788e-02
2.3571,2.4286,2.3929,8942,1827,4.127500e+03,1.304543e+00,1.908372e-02
2.4286,2.5000,2.4643,6988,1272,3.158000e+03,1.307790e+00,2.185979e-02
